category,question,answerMd,order
アカウント / ログイン,パスワードを忘れました,パスワード再設定ページから手続きを行ってください。**設定 > パスワードの変更** へ進み、登録メール宛の手順に沿って再設定してください。リンクの有効期限は1時間です。,1
アカウント / ログイン,ログイン用メールが届きません,迷惑メールフォルダをご確認ください。`@growterrace.co.jp` ドメインを受信許可してください。届かない場合は**お問い合わせ**からご連絡ください。,2
アカウント / ログイン,登録メールアドレスを変更したい,**プロフィール編集**で変更できます。変更後は確認メールのリンクをクリックして完了してください。,3
プラン / 課金,支払い方法（カード）の変更はどこから？,**プラン管理 > お支払い方法を変更**から、Stripeの管理ページ（Customer Portal）で変更できます。,1
プラン / 課金,領収書は発行できますか？,**プラン管理**ページ下部の**お支払い履歴**で各月の**領収書**ボタンから取得できます。モック環境ではリンクのない月もあります（本番ではStripeのHosted Invoice/PDFを表示）。,2
プラン / 課金,解約（サブスク停止）のやり方を教えてください,**プランを変更 > FREE** を選ぶと **サブスクの解約**に遷移します。*期間末で解約*がデフォルトで、更新日まではご利用いただけます。,3
プラン / 課金,返金はできますか？,デジタルコンテンツの性質上、**返金には対応していません**（利用規約 第8条）。期間末解約を推奨します。,4
学習・コンテンツ,動画が再生できません,ブラウザを最新に更新し、**シークレットモード**での再生・拡張機能の無効化をお試しください。ネットワークやVPNの影響もご確認ください。改善しない場合は**お問い合わせ**へ。,1
学習・コンテンツ,視聴済み・学習進捗が反映されません,ログイン状態を確認し、ページを再読み込みしてください。反映まで数分かかることがあります。複数端末をご利用の場合は同期にタイムラグが生じることがあります。,2
学習・コンテンツ,テストを受ける条件は？,一部はFREEでも受験可ですが、**PREMIUM**で全テストが開放されます。コース詳細ページのテストアイコンで受験可否を確認できます。,3
通知設定,メールや通知を止めたい,**お知らせ設定**で **メール通知（全体）** をオフにするとメールは配信されません。アプリ内通知/プッシュも個別に切替できます。,1
技術要件,推奨環境を教えてください,デスクトップ/モバイルともに **Google Chrome（最新版）** を推奨。Safari/Edge も最新版で動作します。JavaScript/Cookieを有効にしてください。,1
技術要件,スマホアプリはありますか？,現在は**Web版のみ**提供しています。ホーム画面に追加（PWA）でアプリライクに利用できます。,2
データ / セキュリティ,退会し、データを削除したい,**退会手続き**から申請してください。退会後はログインができなくなり、関連データはポリシーに従い削除されます。,1
データ / セキュリティ,個人情報の取り扱いは？,**プライバシーポリシー**をご参照ください。問い合わせはページ末尾の窓口までお願いします。,2
サポート,回答までどれくらい？,通常 **2〜3営業日以内** にご返信します。混雑時はお時間をいただく場合があります。**お問い合わせ**からご連絡ください。,1
サポート,問い合わせ先を教えてください,**お問い合わせ**ページから送信してください。メール：`contact@growterrace.co.jp`でも受け付けています。,2
